 (1.200000000000000000e+01+0.000000000000000000e+00j)  (-7.582122429015381027e-02+0.000000000000000000e+00j)  (5.088031953814200481e-01+6.071532165918824830e-18j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)  (1.469195112450003005e-01+0.000000000000000000e+00j)  (8.276595347975432837e-01+6.505213034913026604e-18j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)  (-1.462605796455822560e+00+0.000000000000000000e+00j)  (-1.862906508983078191e-01+1.192622389734054877e-18j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)  (-3.457488742745327137e-01+0.000000000000000000e+00j)  (-1.689056039932711473e-01+3.447762908503904100e-17j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)  (3.342234682628417164e-01+0.000000000000000000e+00j)  (-1.127422229164011691e+00+0.000000000000000000e+00j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)  (-1.348570088566574121e+00+0.000000000000000000e+00j)  (3.309107585164787202e-01+7.589415207398531038e-19j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)  (-6.279640676624208551e-01+0.000000000000000000e+00j)  (-1.161610757685786477e-01-2.818925648462311528e-18j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)  (4.550737554035113042e-01+0.000000000000000000e+00j)  (1.333837298419482620e+00-1.301042606982605321e-18j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)  (-1.166937781053469569e+00+0.000000000000000000e+00j)  (-3.866173147570475255e-01+2.168404344971008868e-18j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)  (-8.999857031583157196e-01+0.000000000000000000e+00j)  (3.068463728453886818e-01+3.469446951953614189e-18j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)  (4.998432364142351148e-01+0.000000000000000000e+00j)  (-1.413812710611946466e+00+0.000000000000000000e+00j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)  (-9.321775322138021735e-01+0.000000000000000000e+00j)  (3.287859263532139642e-01+7.372574772901430151e-18j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)  (-1.140144726433339084e+00+0.000000000000000000e+00j)  (-3.817927376257017058e-01-7.806255641895631925e-18j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)  (4.649658961851674821e-01+0.000000000000000000e+00j)  (1.354484881661596196e+00-4.336808689942017736e-19j)
