 (3.100000000000000089e+00+0.000000000000000000e+00j)  (-2.532013933354588242e-01+0.000000000000000000e+00j)  (-2.735302976052326196e-01+0.000000000000000000e+00j)
 (3.200000000000000178e+00+0.000000000000000000e+00j)  (-2.674817963880169458e-01+0.000000000000000000e+00j)  (-3.218912124913954065e-01+0.000000000000000000e+00j)
 (3.300000000000000266e+00+0.000000000000000000e+00j)  (-2.819342056303599797e-01+0.000000000000000000e+00j)  (-3.681022615505236684e-01+0.000000000000000000e+00j)
 (3.400000000000000355e+00+0.000000000000000000e+00j)  (-2.965355002907175130e-01+0.000000000000000000e+00j)  (-4.119619212140138709e-01+0.000000000000000000e+00j)
 (3.500000000000000000e+00+0.000000000000000000e+00j)  (-3.112623214124094484e-01+0.000000000000000000e+00j)  (-4.532806785625486112e-01+0.000000000000000000e+00j)
 (3.600000000000000089e+00+0.000000000000000000e+00j)  (-3.260911092231953412e-01+0.000000000000000000e+00j)  (-4.918819367814823984e-01+0.000000000000000000e+00j)
 (3.700000000000000178e+00+0.000000000000000000e+00j)  (-3.409981408258839775e-01+0.000000000000000000e+00j)  (-5.276028569294974879e-01+0.000000000000000000e+00j)
 (3.800000000000000266e+00+0.000000000000000000e+00j)  (-3.559595681499080899e-01+0.000000000000000000e+00j)  (-5.602951319184245049e-01+0.000000000000000000e+00j)
 (3.900000000000000355e+00+0.000000000000000000e+00j)  (-3.709514561031495017e-01+0.000000000000000000e+00j)  (-5.898256889345193654e-01+0.000000000000000000e+00j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)  (-3.859498208629831284e-01+0.000000000000000000e+00j)  (-6.160773168823250323e-01+0.000000000000000000e+00j)
 (4.100000000000000533e+00+0.000000000000000000e+00j)  (-4.009306682452733472e-01+0.000000000000000000e+00j)  (-6.389492157998069022e-01+0.000000000000000000e+00j)
 (4.200000000000000178e+00+0.000000000000000000e+00j)  (-4.158700320899518799e-01+0.000000000000000000e+00j)  (-6.583574655759406591e-01+0.000000000000000000e+00j)
 (4.299999999999999822e+00+0.000000000000000000e+00j)  (-4.307440126017612059e-01+0.000000000000000000e+00j)  (-6.742354116974794698e-01+0.000000000000000000e+00j)
 (4.400000000000000355e+00+0.000000000000000000e+00j)  (-4.455288145848297909e-01+0.000000000000000000e+00j)  (-6.865339661582655628e-01+0.000000000000000000e+00j)
 (4.500000000000000000e+00+0.000000000000000000e+00j)  (-4.602007855099077283e-01+0.000000000000000000e+00j)  (-6.952218220802458548e-01+0.000000000000000000e+00j)
 (4.600000000000000533e+00+0.000000000000000000e+00j)  (-4.747364533533675601e-01+0.000000000000000000e+00j)  (-7.002855810182063712e-01+0.000000000000000000e+00j)
 (4.700000000000000178e+00+0.000000000000000000e+00j)  (-4.891125641474373120e-01+0.000000000000000000e+00j)  (-7.017297923481164990e-01+0.000000000000000000e+00j)
 (4.800000000000000711e+00+0.000000000000000000e+00j)  (-5.033061191815870750e-01+0.000000000000000000e+00j)  (-6.995769045697709521e-01+0.000000000000000000e+00j)
 (4.900000000000000355e+00+0.000000000000000000e+00j)  (-5.172944117955577958e-01+0.000000000000000000e+00j)  (-6.938671287860180836e-01+0.000000000000000000e+00j)
